index,BART,source,A,B,AxB_A,AxB_B,AxB_NotSure,A_fluency,B_fluency,SxA_S,SxA_A,SxA_NotSure,SxB_S,SxB_B,SxB_NotSure
0,True,Akeem Priestley is in the Jackson Dolphins club and he plays for the Connecticut Huskies youth team as well as for Sheikh Russel KC .,Akeem Priestley is in the Jackson Dolphins club and plays for Sheikh Russel KC . He played for the youth club Connecticut Huskies .,Akeem Priestley is in the Jackson Dolphins club . Akeem Priestley plays for Sheikh Russel KC . Akeem Priestley plays for the Connecticut Huskies youth team .,2,5,0,26,28,4,3,0,4,3,0
1,False,Akeem Priestley is in the Jackson Dolphins club and he plays for the Connecticut Huskies youth team as well as for Sheikh Russel KC .,Akeem Priestley is in the Jackson Dolphins club and the Connecticut Huskies youth team . He played for the Sheikh Russel KC club .,Akeem Priestley is in the Jackson Dolphins club . Akeem Priestley plays for Sheikh Russel KC . Akeem Priestley plays for the Connecticut Huskies youth team .,2,5,0,26,28,4,3,0,4,3,0
2,True,"( 66063 ) 1998 RO1 has a mean temperature of 265 kelvins , an orbital period of 360.29 days and its periapsis is 254989570.60815 kilometres .",( 66063 ) 1998 RO1 has an orbital period of 360.29 days . The mean temperature of 66063 1998RO1 is 265.0 kelvins and its periapsis is 254989570.60815 kilometres .,( 66063 ) 1998 RO1 has a mean temperature of 265 kelvins . The apoapsis for ( 66063 ) 1998 RO1 is 254989570.60815 kilometres . 66063 1998 RO1 has an orbital period of 360.29 days .,1,6,0,24,26,4,3,0,2,5,0
3,False,"( 66063 ) 1998 RO1 has a mean temperature of 265 kelvins , an orbital period of 360.29 days and its periapsis is 254989570.60815 kilometres .",The mean temperature of ( 66063 ) 1998 RO1 is 265.0 kelvins and its apoapsis is 254989570.60815 kilometres . It has an orbital period of 360.29 days .,( 66063 ) 1998 RO1 has a mean temperature of 265 kelvins . The apoapsis for ( 66063 ) 1998 RO1 is 254989570.60815 kilometres . 66063 1998 RO1 has an orbital period of 360.29 days .,1,6,0,24,26,4,3,0,2,5,0
4,True,"Alessio Romagnoli is in the club Italy national under 17 's coached by Alessandro Dal Canto , and has also played for the Italian national under-19 football team .",Alessio Romagnoli is in the club Italy national under 17 's . Alessandro Dal Canto is the coach of the Italian national under-19 football team .,Alessio Romagnoli is in the club Italy national under 17 's . Alessandro Dal Canto is the coach of the Italy national under-17 football team . Alessio Romagnoli played for the Italian national under-19 football team .,4,3,0,29,28,2,5,0,4,3,0
5,False,"Alessio Romagnoli is in the club Italy national under 17 's coached by Alessandro Dal Canto , and has also played for the Italian national under-19 football team .",Alessio Romagnoli is a member of the Italian national under 17 football team coached by Alessandro Dal Canto . Alessio Romagnoli played for the Italian national under-19 football team .,Alessio Romagnoli is in the club Italy national under 17 's . Alessandro Dal Canto is the coach of the Italy national under-17 football team . Alessio Romagnoli played for the Italian national under-19 football team .,4,3,0,29,28,2,5,0,4,3,0
6,True,The Alderney Airport serves the island of Alderney and its 1st runway is surfaced with poaceae and has a 497 meters long runway .,Alderney Airport serves the island of Alderney . The 1st runway at Aarney Airport is surfaced with poaceae and has 497 meters long .,The surface of the 1st runway at Alderney airport is poaceae . Alderney Airport has a runway length of 497.0 . The Alderney Airport serves Alderney .,6,1,0,28,22,3,4,0,3,4,0
7,False,The Alderney Airport serves the island of Alderney and its 1st runway is surfaced with poaceae and has a 497 meters long runway .,The runway length of Alderney Airport is 497.0 and the 1st runway has a poaceae surface . The Alderney Airport serves Alderney .,The surface of the 1st runway at Alderney airport is poaceae . Alderney Airport has a runway length of 497.0 . The Alderney Airport serves Alderney .,6,1,0,28,22,3,4,0,3,4,0
8,True,"Adonis Georgiadis , was born in Athens ( Greece ) , and worked as the Deputy Parliamentary Spokesman for the Popular Orthodox Rally .",Adonis Georgiadis was born in Athens in Greece . Adonis Georgis worked as the Deputy Parliamentary Spokesman for the Popular Orthodox Rally .,Adonis Georgiadis was born in Greece . Adonis Georgiadis worked as the Deputy Parliamentary Spokesman for the Popular Orthodox Rally . Adonis Georgiadis was born in Athens .,3,4,0,29,27,2,5,0,1,6,0
9,False,"Adonis Georgiadis , was born in Athens ( Greece ) , and worked as the Deputy Parliamentary Spokesman for the Popular Orthodox Rally .","Adonis Georgiadis was born in Athens , Greece . Adonis Georgiadis worked as the Deputy Parliamentary Spokesman for the Popular Orthodox Rally .",Adonis Georgiadis was born in Greece . Adonis Georgiadis worked as the Deputy Parliamentary Spokesman for the Popular Orthodox Rally . Adonis Georgiadis was born in Athens .,3,4,0,29,27,2,5,0,1,6,0
